iter	Passed	Remaining
0	178	178774
1	211	105559
2	241	80134
3	266	66302
4	291	57967
5	318	52757
6	345	49016
7	369	45870
8	394	43471
9	433	42905
10	464	41806
11	491	40432
12	519	39457
13	547	38552
14	577	37892
15	604	37149
16	632	36575
17	665	36282
18	695	35900
19	720	35327
20	745	34740
21	769	34213
22	793	33706
23	817	33245
24	844	32927
25	875	32794
26	905	32638
27	932	32369
28	956	32016
29	983	31786
30	1009	31555
31	1039	31444
32	1070	31373
33	1108	31488
34	1147	31637
35	1188	31838
36	1232	32081
37	1270	32163
38	1303	32113
39	1342	32228
40	1374	32144
41	1401	31968
42	1430	31844
43	1460	31726
44	1487	31577
45	1517	31473
46	1556	31555
47	1591	31562
48	1617	31383
49	1643	31223
50	1668	31049
51	1692	30858
52	1714	30627
53	1743	30546
54	1772	30458
55	1799	30339
56	1826	30213
57	1853	30104
58	1878	29961
59	1902	29809
60	1926	29662
61	1952	29536
62	1980	29450
63	2009	29388
64	2034	29272
65	2063	29205
66	2091	29130
67	2116	29009
68	2139	28871
69	2170	28831
70	2201	28805
71	2231	28764
72	2263	28747
73	2289	28655
74	2316	28569
75	2338	28434
76	2364	28340
77	2390	28254
78	2423	28258
79	2457	28263
80	2491	28262
81	2522	28236
82	2552	28204
83	2578	28122
84	2610	28099
85	2644	28106
86	2681	28144
87	2710	28091
88	2738	28029
89	2764	27955
90	2794	27915
91	2822	27853
92	2854	27839
93	2890	27863
94	2920	27817
95	2946	27744
96	2973	27681
97	2998	27594
98	3025	27531
99	3054	27492
100	3079	27410
101	3106	27345
102	3138	27328
103	3168	27293
104	3194	27232
105	3226	27211
106	3253	27154
107	3283	27119
108	3313	27086
109	3342	27039
110	3366	26965
111	3392	26894
112	3419	26839
113	3442	26752
114	3468	26693
115	3491	26605
116	3517	26545
117	3546	26504
118	3569	26429
119	3592	26347
120	3615	26265
121	3638	26184
122	3664	26127
123	3687	26053
124	3718	26026
125	3746	25987
126	3774	25949
127	3826	26070
128	3892	26281
129	3932	26318
130	3966	26309
131	4002	26321
132	4032	26283
133	4061	26248
134	4093	26227
135	4121	26185
136	4146	26117
137	4173	26071
138	4204	26046
139	4233	26008
140	4260	25955
141	4284	25890
142	4310	25831
143	4335	25772
144	4361	25717
145	4388	25668
146	4419	25646
147	4445	25594
148	4472	25545
149	4503	25517
150	4530	25474
151	4555	25415
152	4581	25362
153	4605	25301
154	4635	25269
155	4660	25214
156	4683	25149
157	4707	25084
158	4731	25028
159	4754	24962
160	4778	24900
161	4801	24837
162	4828	24792
163	4850	24727
164	4878	24689
165	4902	24630
166	4927	24578
167	4951	24522
168	4973	24457
169	4996	24392
170	5019	24333
171	5044	24285
172	5072	24246
173	5096	24194
174	5124	24156
175	5147	24101
176	5173	24054
177	5196	23996
178	5221	23949
179	5250	23916
180	5277	23880
181	5307	23852
182	5332	23805
183	5357	23759
184	5379	23697
185	5402	23643
186	5426	23591
187	5457	23573
188	5488	23551
189	5516	23518
190	5542	23477
191	5567	23429
192	5590	23376
193	5612	23319
194	5638	23277
195	5663	23230
196	5688	23188
197	5716	23153
198	5738	23098
199	5764	23057
200	5789	23013
201	5814	22970
202	5839	22925
203	5864	22882
204	5891	22848
205	5920	22820
206	5947	22782
207	5971	22738
208	5996	22695
209	6019	22646
210	6047	22614
211	6076	22587
212	6107	22567
213	6136	22538
214	6164	22509
215	6193	22478
216	6217	22436
217	6246	22407
218	6272	22370
219	6296	22324
220	6321	22283
221	6346	22242
222	6373	22207
223	6397	22161
224	6420	22114
225	6448	22083
226	6475	22051
227	6504	22022
228	6527	21977
229	6554	21942
230	6582	21913
231	6604	21863
232	6627	21816
233	6659	21800
234	6691	21782
235	6716	21742
236	6742	21706
237	6767	21667
238	6792	21626
239	6816	21586
240	6842	21549
241	6868	21513
242	6889	21463
243	6914	21425
244	6936	21374
245	6961	21336
246	6991	21314
247	7017	21279
248	7044	21247
249	7072	21217
250	7103	21196
251	7132	21170
252	7158	21137
253	7188	21112
254	7216	21082
255	7241	21045
256	7266	21006
257	7291	20971
258	7319	20941
259	7344	20903
260	7370	20868
261	7396	20835
262	7423	20804
263	7453	20778
264	7482	20753
265	7508	20718
266	7533	20681
267	7562	20654
268	7592	20631
269	7616	20591
270	7645	20566
271	7678	20551
272	7709	20529
273	7736	20498
274	7761	20462
275	7790	20436
276	7815	20399
277	7841	20365
278	7870	20338
279	7902	20320
280	7925	20280
281	7953	20249
282	7978	20213
283	8004	20181
284	8033	20154
285	8057	20114
286	8084	20084
287	8125	20089
288	8151	20054
289	8174	20013
290	8199	19976
291	8224	19942
292	8254	19918
293	8283	19891
294	8311	19863
295	8345	19849
296	8375	19824
297	8398	19785
298	8427	19759
299	8455	19728
300	8479	19691
301	8506	19661
302	8538	19640
303	8564	19607
304	8588	19571
305	8612	19532
306	8640	19504
307	8665	19468
308	8689	19431
309	8711	19390
310	8738	19358
311	8767	19333
312	8790	19295
313	8813	19254
314	8838	19219
315	8861	19181
316	8887	19149
317	8909	19108
318	8934	19073
319	8960	19040
320	8989	19014
321	9011	18974
322	9038	18943
323	9063	18909
324	9086	18871
325	9108	18830
326	9132	18795
327	9156	18759
328	9182	18728
329	9218	18715
330	9250	18695
331	9271	18655
332	9297	18623
333	9322	18589
334	9346	18553
335	9368	18514
336	9392	18479
337	9420	18450
338	9459	18445
339	9491	18425
340	9520	18398
341	9551	18376
342	9575	18341
343	9606	18320
344	9630	18284
345	9659	18257
346	9682	18220
347	9705	18184
348	9727	18145
349	9751	18109
350	9776	18076
351	9796	18034
352	9820	17999
353	9847	17969
354	9874	17941
355	9903	17916
356	9934	17893
357	9961	17863
358	9986	17830
359	10009	17794
360	10036	17764
361	10065	17740
362	10094	17713
363	10121	17684
364	10144	17648
365	10169	17615
366	10190	17575
367	10215	17544
368	10240	17511
369	10271	17489
370	10298	17460
371	10323	17427
372	10352	17401
373	10378	17372
374	10406	17344
375	10442	17330
376	10472	17305
